Outcome,Immunophenotype,GWAS Catalog accession,Instruments,R2 (%),sum(F)/n,Power at OR 1.1,Power at OR 1.2,Power at OR 1.3,Minimum detectable protective OR at 80% power,Minimum detectable harmful OR at 80% power,OR 95%CI lower,OR 95%CI upper,OR simultaneous CI lower (alpha=.05/731),OR simultaneous CI upper (alpha=.05/731),Entire 95% CI within 0.83-1.20,Entire simultaneous CI within 0.83-1.20,Entire 95% CI within 0.91-1.10,Entire simultaneous CI within 0.91-1.10,QC flag
AVBLOCK,CD127 on CD28- CD8+ T cell,GCST90001930,21,17.57,0.159,0.246,0.990,1.000,0.870,1.150,0.9490,1.0391,0.9057,1.0888,yes,yes,yes,no,""
CONDUCTIO,CD127 on CD28- CD8+ T cell,GCST90001930,21,17.57,0.159,0.649,1.000,1.000,0.900,1.111,0.9584,1.0234,0.9264,1.0587,yes,yes,yes,yes,""
AVBLOCK,CD127 on CD4+ T cell,GCST90001931,8,6.62,0.060,0.025,0.454,0.943,0.797,1.255,0.9334,1.1003,0.8574,1.1977,yes,yes,no,no,""
CONDUCTIO,CD127 on CD4+ T cell,GCST90001931,8,6.62,0.060,0.096,0.873,1.000,0.842,1.187,0.9531,1.0780,0.8944,1.1487,yes,yes,yes,no,""
AVBLOCK,CD127 on CD45RA+ CD4+ T cell,GCST90001932,22,22.12,0.200,0.388,0.999,1.000,0.883,1.132,0.9484,1.0629,0.8943,1.1273,yes,yes,yes,no,""
CONDUCTIO,CD127 on CD45RA+ CD4+ T cell,GCST90001932,22,22.12,0.200,0.820,1.000,1.000,0.910,1.098,0.9781,1.0672,0.9351,1.1163,yes,yes,yes,no,""
AVBLOCK,CD25 on CD45RA- CD4 not regulatory T cell,GCST90001933,26,21.61,0.197,0.371,0.999,1.000,0.882,1.134,0.9754,1.0389,0.9442,1.0732,yes,yes,yes,yes,""
CONDUCTIO,CD25 on CD45RA- CD4 not regulatory T cell,GCST90001933,26,21.61,0.197,0.805,1.000,1.000,0.909,1.100,0.9811,1.0255,0.9590,1.0492,yes,yes,yes,yes,""
AVBLOCK,CD25 on CD45RA+ CD4 not regulatory T cell,GCST90001934,22,14.79,0.147,0.169,0.964,1.000,0.859,1.164,0.9850,1.0427,0.9565,1.0737,yes,yes,yes,yes,""
CONDUCTIO,CD25 on CD45RA+ CD4 not regulatory T cell,GCST90001934,22,14.79,0.147,0.510,1.000,1.000,0.892,1.122,0.9813,1.0239,0.9600,1.0466,yes,yes,yes,yes,""
AVBLOCK,CD25 on CD39+ CD4 regulatory T cell,GCST90001935,17,12.44,0.114,0.113,0.907,1.000,0.847,1.180,0.9598,1.0690,0.9080,1.1300,yes,yes,yes,no,""
CONDUCTIO,CD25 on CD39+ CD4 regulatory T cell,GCST90001935,17,12.44,0.114,0.379,0.999,1.000,0.882,1.133,0.9710,1.0527,0.9314,1.0975,yes,yes,yes,yes,""
AVBLOCK,CD25 on CD4 regulatory T cell,GCST90001936,22,14.95,0.137,0.173,0.966,1.000,0.860,1.163,0.9461,0.9993,0.9198,1.0278,yes,yes,yes,yes,""
CONDUCTIO,CD25 on CD4 regulatory T cell,GCST90001936,22,14.95,0.137,0.518,1.000,1.000,0.892,1.121,0.9693,1.0058,0.9510,1.0251,yes,yes,yes,yes,""
AVBLOCK,CD25 on resting CD4 regulatory T cell,GCST90001937,20,15.18,0.132,0.179,0.970,1.000,0.861,1.162,0.9765,1.0890,0.9230,1.1521,yes,yes,yes,no,""
CONDUCTIO,CD25 on resting CD4 regulatory T cell,GCST90001937,20,15.18,0.132,0.530,1.000,1.000,0.893,1.120,0.9606,1.0342,0.9248,1.0744,yes,yes,yes,yes,""
AVBLOCK,CD25 on CD39+ resting CD4 regulatory T cell,GCST90001938,15,10.95,0.106,0.084,0.840,0.999,0.838,1.193,0.9641,1.1139,0.8949,1.2001,yes,no,no,no,""
CONDUCTIO,CD25 on CD39+ resting CD4 regulatory T cell,GCST90001938,15,10.95,0.106,0.296,0.995,1.000,0.875,1.143,0.9683,1.0767,0.9167,1.1372,yes,yes,yes,no,""
AVBLOCK,CD25 on activated CD4 regulatory T cell,GCST90001939,17,11.89,0.108,0.102,0.885,1.000,0.844,1.185,0.9040,1.0601,0.8327,1.1509,yes,no,no,no,""
CONDUCTIO,CD25 on activated CD4 regulatory T cell,GCST90001939,17,11.89,0.108,0.348,0.998,1.000,0.880,1.137,0.9432,1.0495,0.8926,1.1090,yes,yes,yes,no,""
AVBLOCK,CD25 on CD39+ activated CD4 regulatory T cell,GCST90001940,12,9.00,0.081,0.052,0.701,0.994,0.823,1.215,0.9651,1.0691,0.9155,1.1270,yes,yes,yes,no,""
CONDUCTIO,CD25 on CD39+ activated CD4 regulatory T cell,GCST90001940,12,9.00,0.081,0.196,0.977,1.000,0.863,1.159,0.9575,1.0503,0.9128,1.1017,yes,yes,yes,no,""
AVBLOCK,CD25 on secreting CD4 regulatory T cell,GCST90001941,14,11.20,0.102,0.088,0.853,0.999,0.840,1.191,0.9660,1.0322,0.9336,1.0680,yes,yes,yes,yes,""
CONDUCTIO,CD25 on secreting CD4 regulatory T cell,GCST90001941,14,11.20,0.102,0.310,0.996,1.000,0.876,1.141,0.9723,1.0144,0.9513,1.0368,yes,yes,yes,yes,""
AVBLOCK,CD25 on CD39+ secreting CD4 regulatory T cell,GCST90001942,16,12.41,0.112,0.112,0.905,1.000,0.847,1.181,0.9458,1.0209,0.9093,1.0619,yes,yes,yes,yes,""
CONDUCTIO,CD25 on CD39+ secreting CD4 regulatory T cell,GCST90001942,16,12.41,0.112,0.377,0.999,1.000,0.882,1.134,0.9707,1.0270,0.9428,1.0574,yes,yes,yes,yes,""
AVBLOCK,CD25 on activated & secreting CD4 regulatory T cell,GCST90001943,21,14.67,0.135,0.165,0.962,1.000,0.858,1.165,0.9333,0.9798,0.9102,1.0047,yes,yes,yes,yes,""
CONDUCTIO,CD25 on activated & secreting CD4 regulatory T cell,GCST90001943,21,14.67,0.135,0.503,1.000,1.000,0.891,1.122,0.9614,0.9972,0.9435,1.0162,yes,yes,yes,yes,""
AVBLOCK,CD123 on plasmacytoid Dendritic Cell,GCST90001944,18,19.63,0.167,0.309,0.996,1.000,0.876,1.141,0.9818,1.0228,0.9613,1.0446,yes,yes,yes,yes,""
CONDUCTIO,CD123 on plasmacytoid Dendritic Cell,GCST90001944,18,19.63,0.167,0.737,1.000,1.000,0.905,1.105,0.9805,1.0111,0.9651,1.0272,yes,yes,yes,yes,""
AVBLOCK,CD123 on CD62L+ plasmacytoid Dendritic Cell,GCST90001945,18,19.57,0.167,0.306,0.996,1.000,0.876,1.141,0.9818,1.0228,0.9613,1.0446,yes,yes,yes,yes,""
CONDUCTIO,CD123 on CD62L+ plasmacytoid Dendritic Cell,GCST90001945,18,19.57,0.167,0.734,1.000,1.000,0.905,1.105,0.9805,1.0111,0.9651,1.0272,yes,yes,yes,yes,""
AVBLOCK,CD33 on CD14+ monocyte,GCST90001946,21,82.94,1.074,0.999,1.000,1.000,0.938,1.066,0.9804,1.0298,0.9559,1.0563,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
CONDUCTIO,CD33 on CD14+ monocyte,GCST90001946,21,82.94,1.074,1.000,1.000,1.000,0.953,1.050,0.9820,1.0246,0.9607,1.0473,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
AVBLOCK,CD33 on CD33+ HLA DR+ CD14dim,GCST90001947,27,93.73,1.146,1.000,1.000,1.000,0.941,1.062,0.9608,1.0038,0.9394,1.0267,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
CONDUCTIO,CD33 on CD33+ HLA DR+ CD14dim,GCST90001947,27,93.73,1.146,1.000,1.000,1.000,0.955,1.047,0.9754,1.0052,0.9604,1.0209,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
AVBLOCK,CD33 on CD33dim HLA DR+ CD11b+,GCST90001948,22,86.97,1.119,1.000,1.000,1.000,0.939,1.065,0.9718,1.0243,0.9458,1.0525,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
CONDUCTIO,CD33 on CD33dim HLA DR+ CD11b+,GCST90001948,22,86.97,1.119,1.000,1.000,1.000,0.954,1.048,0.9741,1.0137,0.9542,1.0348,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
AVBLOCK,CD33 on CD33dim HLA DR+ CD11b-,GCST90001949,22,85.50,1.087,0.999,1.000,1.000,0.939,1.065,0.9678,1.0193,0.9423,1.0469,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
CONDUCTIO,CD33 on CD33dim HLA DR+ CD11b-,GCST90001949,22,85.50,1.087,1.000,1.000,1.000,0.953,1.049,0.9701,1.0089,0.9506,1.0295,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
AVBLOCK,CD33 on Granulocytic Myeloid-Derived Suppressor Cells,GCST90001950,20,57.95,0.579,0.977,1.000,1.000,0.926,1.080,0.9561,1.0340,0.9183,1.0767,yes,yes,yes,yes,""
CONDUCTIO,CD33 on Granulocytic Myeloid-Derived Suppressor Cells,GCST90001950,20,57.95,0.579,1.000,1.000,1.000,0.944,1.060,0.9733,1.0286,0.9460,1.0584,yes,yes,yes,yes,""
AVBLOCK,CD33 on CD66b++ myeloid cell,GCST90001951,18,64.56,0.722,0.990,1.000,1.000,0.930,1.076,0.9708,1.0261,0.9435,1.0558,yes,yes,yes,yes,""
CONDUCTIO,CD33 on CD66b++ myeloid cell,GCST90001951,18,64.56,0.722,1.000,1.000,1.000,0.947,1.056,0.9729,1.0129,0.9529,1.0341,yes,yes,yes,yes,""
AVBLOCK,CD33 on Monocytic Myeloid-Derived Suppressor Cells,GCST90001952,21,76.67,0.894,0.998,1.000,1.000,0.935,1.069,0.9630,1.0138,0.9378,1.0410,yes,yes,yes,yes,""
CONDUCTIO,CD33 on Monocytic Myeloid-Derived Suppressor Cells,GCST90001952,21,76.67,0.894,1.000,1.000,1.000,0.951,1.052,0.9684,1.0085,0.9483,1.0299,yes,yes,yes,yes,""
AVBLOCK,CD33 on CD33dim HLA DR-,GCST90001953,19,74.81,0.871,0.998,1.000,1.000,0.935,1.070,0.9776,1.0287,0.9522,1.0561,yes,yes,yes,yes,""
CONDUCTIO,CD33 on CD33dim HLA DR-,GCST90001953,19,74.81,0.871,1.000,1.000,1.000,0.950,1.052,0.9763,1.0143,0.9573,1.0344,yes,yes,yes,yes,""
AVBLOCK,CD33 on basophil,GCST90001954,22,82.83,0.968,0.999,1.000,1.000,0.938,1.066,0.9764,1.0121,0.9585,1.0311,yes,yes,yes,yes,""
CONDUCTIO,CD33 on basophil,GCST90001954,22,82.83,0.968,1.000,1.000,1.000,0.953,1.050,0.9828,1.0096,0.9692,1.0237,yes,yes,yes,yes,""
AVBLOCK,CD33 on Immature Myeloid-Derived Suppressor Cells,GCST90001955,23,82.60,0.933,0.999,1.000,1.000,0.938,1.066,0.9767,1.0305,0.9501,1.0594,yes,yes,yes,yes,""
CONDUCTIO,CD33 on Immature Myeloid-Derived Suppressor Cells,GCST90001955,23,82.60,0.933,1.000,1.000,1.000,0.953,1.050,0.9693,1.0097,0.9490,1.0312,yes,yes,yes,yes,""
AVBLOCK,CD33 on CD33+ HLA DR+,GCST90001956,23,88.56,1.112,1.000,1.000,1.000,0.940,1.064,0.9540,1.0012,0.9305,1.0265,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
CONDUCTIO,CD33 on CD33+ HLA DR+,GCST90001956,23,88.56,1.112,1.000,1.000,1.000,0.954,1.048,0.9687,1.0027,0.9515,1.0208,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
AVBLOCK,CD33 on CD33+ HLA DR+ CD14-,GCST90001957,21,86.49,1.095,1.000,1.000,1.000,0.939,1.065,0.9591,1.0065,0.9356,1.0319,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
CONDUCTIO,CD33 on CD33+ HLA DR+ CD14-,GCST90001957,21,86.49,1.095,1.000,1.000,1.000,0.954,1.049,0.9727,1.0071,0.9554,1.0253,yes,yes,yes,yes,sum(F)/n > 1 (empirical flag; retained in summaries)
AVBLOCK,CD4 on monocyte,GCST90001958,15,14.12,0.125,0.152,0.952,1.000,0.856,1.168,0.9362,1.0483,0.8831,1.1112,yes,yes,yes,no,""
CONDUCTIO,CD4 on monocyte,GCST90001958,15,14.12,0.125,0.473,1.000,1.000,0.889,1.125,0.9448,1.0368,0.9006,1.0877,yes,yes,yes,no,""
AVBLOCK,CD4 on HLA DR+ CD4+ T cell,GCST90001959,21,17.56,0.157,0.245,0.990,1.000,0.870,1.150,0.9139,1.0608,0.8463,1.1455,yes,yes,yes,no,""
CONDUCTIO,CD4 on HLA DR+ CD4+ T cell,GCST90001959,21,17.56,0.157,0.649,1.000,1.000,0.900,1.111,0.9529,1.0673,0.8988,1.1316,yes,yes,yes,no,""
AVBLOCK,CD25 on CD4+ T cell,GCST90001960,16,13.78,0.126,0.143,0.945,1.000,0.854,1.171,0.9927,1.0500,0.9643,1.0809,yes,yes,yes,yes,""
CONDUCTIO,CD25 on CD4+ T cell,GCST90001960,16,13.78,0.126,0.454,1.000,1.000,0.888,1.126,0.9853,1.0261,0.9650,1.0478,yes,yes,yes,yes,""
AVBLOCK,CD25 on CD39+ CD4+ T cell,GCST90001961,23,51.74,0.538,0.953,1.000,1.000,0.922,1.085,0.9516,1.0140,0.9209,1.0478,yes,yes,yes,yes,""
CONDUCTIO,CD25 on CD39+ CD4+ T cell,GCST90001961,23,51.74,0.538,1.000,1.000,1.000,0.940,1.063,0.9697,1.0181,0.9457,1.0439,yes,yes,yes,yes,""
AVBLOCK,CD25 on CD28+ CD4+ T cell,GCST90001962,5,3.79,0.038,0.007,0.146,0.591,0.740,1.350,0.9473,1.2126,0.8340,1.3774,no,no,no,no,""
CONDUCTIO,CD25 on CD28+ CD4+ T cell,GCST90001962,5,3.79,0.038,0.025,0.459,0.945,0.797,1.254,0.9452,1.1219,0.8653,1.2255,yes,no,no,no,""
AVBLOCK,FSC-A on myeloid Dendritic Cell,GCST90001963,20,24.34,0.217,0.458,1.000,1.000,0.888,1.126,0.9555,1.0032,0.9319,1.0286,yes,yes,yes,yes,""
CONDUCTIO,FSC-A on myeloid Dendritic Cell,GCST90001963,20,24.34,0.217,0.876,1.000,1.000,0.914,1.094,0.9679,1.0073,0.9481,1.0283,yes,yes,yes,yes,""
AVBLOCK,FSC-A on plasmacytoid Dendritic Cell,GCST90001964,26,23.04,0.217,0.417,0.999,1.000,0.885,1.130,0.9698,1.0146,0.9475,1.0385,yes,yes,yes,yes,""
CONDUCTIO,FSC-A on plasmacytoid Dendritic Cell,GCST90001964,26,23.04,0.217,0.845,1.000,1.000,0.912,1.096,0.9872,1.0211,0.9701,1.0390,yes,yes,yes,yes,""
AVBLOCK,FSC-A on monocyte,GCST90001965,19,17.54,0.156,0.245,0.990,1.000,0.870,1.150,0.9471,1.0106,0.9159,1.0450,yes,yes,yes,yes,""
CONDUCTIO,FSC-A on monocyte,GCST90001965,19,17.54,0.156,0.648,1.000,1.000,0.900,1.111,0.9573,1.0050,0.9336,1.0306,yes,yes,yes,yes,""
AVBLOCK,FSC-A on granulocyte,GCST90001966,21,24.10,0.218,0.451,1.000,1.000,0.888,1.127,0.9374,1.0383,0.8893,1.0945,yes,yes,yes,no,""
CONDUCTIO,FSC-A on granulocyte,GCST90001966,21,24.10,0.218,0.871,1.000,1.000,0.914,1.094,0.9577,1.0343,0.9205,1.0762,yes,yes,yes,yes,""
AVBLOCK,FSC-A on CD14+ monocyte,GCST90001967,23,17.91,0.159,0.256,0.991,1.000,0.871,1.148,0.9693,1.0633,0.9241,1.1152,yes,yes,yes,no,""
CONDUCTIO,FSC-A on CD14+ monocyte,GCST90001967,23,17.91,0.159,0.665,1.000,1.000,0.901,1.110,0.9966,1.0595,0.9657,1.0935,yes,yes,yes,yes,""
AVBLOCK,FSC-A on B cell,GCST90001968,20,14.72,0.133,0.167,0.963,1.000,0.859,1.165,0.9784,1.0859,0.9272,1.1459,yes,yes,yes,no,""
CONDUCTIO,FSC-A on B cell,GCST90001968,20,14.72,0.133,0.505,1.000,1.000,0.891,1.122,0.9860,1.0625,0.9487,1.1042,yes,yes,yes,no,""
AVBLOCK,FSC-A on Natural Killer,GCST90001969,18,17.23,0.156,0.236,0.988,1.000,0.869,1.151,0.9251,1.0161,0.8814,1.0664,yes,yes,yes,no,""
CONDUCTIO,FSC-A on Natural Killer,GCST90001969,18,17.23,0.156,0.634,1.000,1.000,0.899,1.112,0.9577,1.0285,0.9230,1.0671,yes,yes,yes,yes,""
AVBLOCK,FSC-A on HLA DR+ Natural Killer,GCST90001970,20,27.73,0.261,0.562,1.000,1.000,0.895,1.117,0.9539,1.0159,0.9234,1.0495,yes,yes,yes,yes,""
CONDUCTIO,FSC-A on HLA DR+ Natural Killer,GCST90001970,20,27.73,0.261,0.934,1.000,1.000,0.920,1.087,0.9712,1.0181,0.9479,1.0431,yes,yes,yes,yes,""
AVBLOCK,FSC-A on lymphocyte,GCST90001971,17,11.27,0.121,0.089,0.856,0.999,0.840,1.190,0.9675,1.0499,0.9276,1.0951,yes,yes,yes,yes,""
CONDUCTIO,FSC-A on lymphocyte,GCST90001971,17,11.27,0.121,0.314,0.997,1.000,0.877,1.141,0.9650,1.0258,0.9350,1.0587,yes,yes,yes,yes,""
AVBLOCK,FSC-A on T cell,GCST90001972,22,14.53,0.152,0.162,0.960,1.000,0.858,1.166,0.9690,1.0406,0.9341,1.0796,yes,yes,yes,yes,""
CONDUCTIO,FSC-A on T cell,GCST90001972,22,14.53,0.152,0.495,1.000,1.000,0.891,1.123,0.9717,1.0273,0.9442,1.0573,yes,yes,yes,yes,""
AVBLOCK,FSC-A on CD4+ T cell,GCST90001973,25,18.98,0.184,0.288,0.995,1.000,0.874,1.144,0.9930,1.0496,0.9650,1.0800,yes,yes,yes,yes,""
CONDUCTIO,FSC-A on CD4+ T cell,GCST90001973,25,18.98,0.184,0.711,1.000,1.000,0.904,1.107,0.9807,1.0222,0.9599,1.0443,yes,yes,yes,yes,""
AVBLOCK,FSC-A on CD8+ T cell,GCST90001974,18,10.78,0.128,0.081,0.830,0.999,0.837,1.195,0.9842,1.0835,0.9366,1.1386,yes,yes,yes,no,""
CONDUCTIO,FSC-A on CD8+ T cell,GCST90001974,18,10.78,0.128,0.287,0.995,1.000,0.874,1.144,0.9764,1.0492,0.9408,1.0889,yes,yes,yes,yes,""
AVBLOCK,FSC-A on HLA DR+ T cell,GCST90001975,19,14.35,0.135,0.157,0.957,1.000,0.857,1.167,0.9782,1.0291,0.9529,1.0564,yes,yes,yes,yes,""
CONDUCTIO,FSC-A on HLA DR+ T cell,GCST90001975,19,14.35,0.135,0.485,1.000,1.000,0.890,1.124,0.9879,1.0237,0.9699,1.0427,yes,yes,yes,yes,""
AVBLOCK,FSC-A on Natural Killer T,GCST90001976,20,14.63,0.138,0.165,0.961,1.000,0.858,1.165,0.9118,1.0640,0.8420,1.1521,yes,yes,yes,no,""
CONDUCTIO,FSC-A on Natural Killer T,GCST90001976,20,14.63,0.138,0.501,1.000,1.000,0.891,1.122,0.9455,1.0368,0.9016,1.0873,yes,yes,yes,no,""
AVBLOCK,FSC-A on HLA DR+ CD4+ T cell,GCST90001977,17,12.77,0.124,0.120,0.918,1.000,0.849,1.178,0.9643,1.0483,0.9236,1.0944,yes,yes,yes,yes,""
CONDUCTIO,FSC-A on HLA DR+ CD4+ T cell,GCST90001977,17,12.77,0.124,0.397,0.999,1.000,0.884,1.131,0.9625,1.0246,0.9319,1.0583,yes,yes,yes,yes,""
AVBLOCK,FSC-A on HLA DR+ CD8+ T cell,GCST90001978,18,13.09,0.126,0.127,0.927,1.000,0.851,1.175,0.9510,1.0115,0.9212,1.0442,yes,yes,yes,yes,""
CONDUCTIO,FSC-A on HLA DR+ CD8+ T cell,GCST90001978,18,13.09,0.126,0.415,0.999,1.000,0.885,1.130,0.9596,1.0025,0.9382,1.0253,yes,yes,yes,yes,""
AVBLOCK,CD16 on CD14- CD16+ monocyte,GCST90001979,20,63.59,0.824,0.989,1.000,1.000,0.929,1.076,0.9680,1.0311,0.9369,1.0652,yes,yes,yes,yes,""
CONDUCTIO,CD16 on CD14- CD16+ monocyte,GCST90001979,20,63.59,0.824,1.000,1.000,1.000,0.946,1.057,0.9577,1.0136,0.9301,1.0437,yes,yes,yes,yes,""
AVBLOCK,CD40 on CD14+ CD16- monocyte,GCST90001980,23,35.15,0.328,0.751,1.000,1.000,0.906,1.104,0.9789,1.0736,0.9334,1.1259,yes,yes,yes,no,""
CONDUCTIO,CD40 on CD14+ CD16- monocyte,GCST90001980,23,35.15,0.328,0.986,1.000,1.000,0.928,1.077,0.9924,1.0572,0.9605,1.0923,yes,yes,yes,yes,""
AVBLOCK,CD40 on CD14+ CD16+ monocyte,GCST90001981,21,36.33,0.342,0.775,1.000,1.000,0.907,1.102,0.9748,1.0240,0.9503,1.0504,yes,yes,yes,yes,""
CONDUCTIO,CD40 on CD14+ CD16+ monocyte,GCST90001981,21,36.33,0.342,0.989,1.000,1.000,0.929,1.076,0.9810,1.0200,0.9615,1.0407,yes,yes,yes,yes,""
AVBLOCK,CCR2 on CD14- CD16+ monocyte,GCST90001982,28,19.86,0.182,0.316,0.997,1.000,0.877,1.140,0.9668,1.0190,0.9409,1.0470,yes,yes,yes,yes,""
CONDUCTIO,CCR2 on CD14- CD16+ monocyte,GCST90001982,28,19.86,0.182,0.745,1.000,1.000,0.906,1.104,0.9723,1.0129,0.9520,1.0345,yes,yes,yes,yes,""
AVBLOCK,CD14 on CD14+ CD16+ monocyte,GCST90001983,15,10.76,0.099,0.080,0.829,0.999,0.837,1.195,0.9238,1.0650,0.8585,1.1460,yes,yes,yes,no,""
CONDUCTIO,CD14 on CD14+ CD16+ monocyte,GCST90001983,15,10.76,0.099,0.286,0.995,1.000,0.874,1.144,0.9517,1.0586,0.9008,1.1184,yes,yes,yes,no,""
AVBLOCK,HLA DR on CD14- CD16+ monocyte,GCST90001984,19,34.60,0.282,0.739,1.000,1.000,0.905,1.105,0.9387,1.0226,0.8981,1.0688,yes,yes,yes,no,""
CONDUCTIO,HLA DR on CD14- CD16+ monocyte,GCST90001984,19,34.60,0.282,0.984,1.000,1.000,0.928,1.078,0.9452,1.0047,0.9159,1.0368,yes,yes,yes,yes,""
AVBLOCK,CD40 on monocytes,GCST90001985,29,43.46,0.410,0.885,1.000,1.000,0.915,1.093,0.9923,1.0313,0.9728,1.0520,yes,yes,yes,yes,""
CONDUCTIO,CD40 on monocytes,GCST90001985,29,43.46,0.410,0.998,1.000,1.000,0.935,1.069,0.9955,1.0237,0.9813,1.0386,yes,yes,yes,yes,""
AVBLOCK,CD14 on CD14+ CD16- monocyte,GCST90001986,16,11.39,0.106,0.092,0.862,1.000,0.841,1.189,0.8786,1.0238,0.8119,1.1079,yes,no,no,no,""
CONDUCTIO,CD14 on CD14+ CD16- monocyte,GCST90001986,16,11.39,0.106,0.320,0.997,1.000,0.877,1.140,0.9161,1.0075,0.8722,1.0581,yes,yes,yes,no,""
AVBLOCK,CD64 on CD14+ CD16- monocyte,GCST90001987,35,53.45,0.484,0.961,1.000,1.000,0.923,1.083,0.9932,1.0281,0.9756,1.0466,yes,yes,yes,yes,""
CONDUCTIO,CD64 on CD14+ CD16- monocyte,GCST90001987,35,53.45,0.484,1.000,1.000,1.000,0.941,1.062,0.9946,1.0209,0.9813,1.0348,yes,yes,yes,yes,""
AVBLOCK,HLA DR on CD14+ CD16- monocyte,GCST90001988,22,51.12,0.373,0.949,1.000,1.000,0.921,1.085,0.9623,1.0353,0.9267,1.0750,yes,yes,yes,yes,""
CONDUCTIO,HLA DR on CD14+ CD16- monocyte,GCST90001988,22,51.12,0.373,1.000,1.000,1.000,0.940,1.064,0.9800,1.0351,0.9528,1.0647,yes,yes,yes,yes,""
AVBLOCK,CD40 on CD14- CD16+ monocyte,GCST90001989,27,48.20,0.451,0.930,1.000,1.000,0.919,1.088,0.9764,1.0276,0.9510,1.0550,yes,yes,yes,yes,""
CONDUCTIO,CD40 on CD14- CD16+ monocyte,GCST90001989,27,48.20,0.451,0.999,1.000,1.000,0.938,1.066,0.9792,1.0181,0.9597,1.0388,yes,yes,yes,yes,""
AVBLOCK,CD64 on CD14- CD16+ monocyte,GCST90001990,20,16.74,0.147,0.222,0.985,1.000,0.867,1.154,0.9925,1.1195,0.9327,1.1912,yes,yes,no,no,""
CONDUCTIO,CD64 on CD14- CD16+ monocyte,GCST90001990,20,16.74,0.147,0.610,1.000,1.000,0.898,1.114,0.9787,1.0821,0.9292,1.1397,yes,yes,yes,no,""
AVBLOCK,HLA DR on CD14+ monocyte,GCST90001991,21,47.91,0.349,0.927,1.000,1.000,0.919,1.088,0.9568,1.0313,0.9206,1.0720,yes,yes,yes,yes,""
CONDUCTIO,HLA DR on CD14+ monocyte,GCST90001991,21,47.91,0.349,0.999,1.000,1.000,0.938,1.066,0.9763,1.0327,0.9484,1.0630,yes,yes,yes,yes,""
AVBLOCK,CCR2 on CD14+ CD16+ monocyte,GCST90001992,37,26.59,0.237,0.528,1.000,1.000,0.893,1.120,0.9754,1.0261,0.9503,1.0532,yes,yes,yes,yes,""
CONDUCTIO,CCR2 on CD14+ CD16+ monocyte,GCST90001992,37,26.59,0.237,0.917,1.000,1.000,0.918,1.089,0.9940,1.0271,0.9773,1.0446,yes,yes,yes,yes,""
AVBLOCK,PDL-1 on CD14+ CD16- monocyte,GCST90001993,15,9.90,0.091,0.066,0.772,0.998,0.830,1.204,0.9290,1.0707,0.8633,1.1521,yes,yes,yes,no,""
CONDUCTIO,PDL-1 on CD14+ CD16- monocyte,GCST90001993,15,9.90,0.091,0.240,0.989,1.000,0.869,1.151,0.9608,1.0684,0.9096,1.1285,yes,yes,yes,no,""
AVBLOCK,CX3CR1 on CD14- CD16-,GCST90001994,19,20.11,0.187,0.323,0.997,1.000,0.878,1.139,0.9910,1.0401,0.9666,1.0663,yes,yes,yes,yes,""
CONDUCTIO,CX3CR1 on CD14- CD16-,GCST90001994,19,20.11,0.187,0.754,1.000,1.000,0.906,1.103,0.9907,1.0272,0.9724,1.0465,yes,yes,yes,yes,""
AVBLOCK,CX3CR1 on monocyte,GCST90001995,26,29.03,0.265,0.599,1.000,1.000,0.897,1.115,0.9955,1.1074,0.9422,1.1699,yes,yes,no,no,""
CONDUCTIO,CX3CR1 on monocyte,GCST90001995,26,29.03,0.265,0.948,1.000,1.000,0.921,1.085,0.9944,1.0656,0.9596,1.1043,yes,yes,yes,no,""
AVBLOCK,CX3CR1 on CD14+ CD16+ monocyte,GCST90001996,34,33.98,0.310,0.725,1.000,1.000,0.905,1.106,0.9730,1.0418,0.9393,1.0792,yes,yes,yes,yes,""
CONDUCTIO,CX3CR1 on CD14+ CD16+ monocyte,GCST90001996,34,33.98,0.310,0.982,1.000,1.000,0.927,1.079,0.9743,1.0262,0.9485,1.0541,yes,yes,yes,yes,""
AVBLOCK,CX3CR1 on CD14+ CD16- monocyte,GCST90001997,27,32.97,0.297,0.702,1.000,1.000,0.903,1.107,0.9998,1.0982,0.9525,1.1527,yes,yes,yes,no,""
CONDUCTIO,CX3CR1 on CD14+ CD16- monocyte,GCST90001997,27,32.97,0.297,0.977,1.000,1.000,0.926,1.080,0.9995,1.0734,0.9635,1.1135,yes,yes,yes,no,""
AVBLOCK,PDL-1 on CD14+ CD16+ monocyte,GCST90001998,28,18.54,0.171,0.275,0.994,1.000,0.873,1.146,0.9781,1.0472,0.9443,1.0848,yes,yes,yes,yes,""
