Outcome,Immunophenotype,GWAS Catalog accession,Instruments,R2 (%),sum(F)/n,Power at OR 1.1,Power at OR 1.2,Power at OR 1.3,Minimum detectable protective OR at 80% power,Minimum detectable harmful OR at 80% power,OR 95%CI lower,OR 95%CI upper,OR simultaneous CI lower (alpha=.05/731),OR simultaneous CI upper (alpha=.05/731),Entire 95% CI within 0.83-1.20,Entire simultaneous CI within 0.83-1.20,Entire 95% CI within 0.91-1.10,Entire simultaneous CI within 0.91-1.10,QC flag
AVBLOCK,CD4+ CD8dim T cell Absolute Count,GCST90001609,15,14.94,0.128,0.172,0.966,1.000,0.860,1.163,0.9685,1.0735,0.9184,1.1321,yes,yes,yes,no,""
CONDUCTIO,CD4+ CD8dim T cell Absolute Count,GCST90001609,15,14.94,0.128,0.517,1.000,1.000,0.892,1.121,0.9741,1.0522,0.9362,1.0948,yes,yes,yes,yes,""
AVBLOCK,CD4+ CD8dim T cell %lymphocyte,GCST90001610,19,18.73,0.167,0.281,0.994,1.000,0.874,1.145,0.9663,1.0868,0.9094,1.1547,yes,yes,yes,no,""
CONDUCTIO,CD4+ CD8dim T cell %lymphocyte,GCST90001610,19,18.73,0.167,0.700,1.000,1.000,0.903,1.107,0.9638,1.0526,0.9210,1.1015,yes,yes,yes,no,""
AVBLOCK,CD4+ CD8dim T cell %leukocyte,GCST90001611,14,15.72,0.138,0.193,0.976,1.000,0.863,1.159,0.9429,1.0900,0.8749,1.1747,yes,yes,yes,no,""
CONDUCTIO,CD4+ CD8dim T cell %leukocyte,GCST90001611,14,15.72,0.138,0.559,1.000,1.000,0.895,1.118,0.9515,1.0606,0.8997,1.1216,yes,yes,yes,no,""
AVBLOCK,CD8dim T cell %leukocyte,GCST90001612,18,14.08,0.125,0.151,0.951,1.000,0.856,1.169,0.9636,1.0566,0.9189,1.1081,yes,yes,yes,no,""
CONDUCTIO,CD8dim T cell %leukocyte,GCST90001612,18,14.08,0.125,0.471,1.000,1.000,0.889,1.125,0.9751,1.0447,0.9411,1.0826,yes,yes,yes,yes,""
AVBLOCK,CD4-CD8- T cell %leukocyte,GCST90001613,20,14.22,0.136,0.154,0.954,1.000,0.856,1.168,0.9629,1.0261,0.9319,1.0603,yes,yes,yes,yes,""
CONDUCTIO,CD4-CD8- T cell %leukocyte,GCST90001613,20,14.22,0.136,0.478,1.000,1.000,0.890,1.124,0.9804,1.0283,0.9566,1.0540,yes,yes,yes,yes,""
AVBLOCK,CD8+ and CD8dim T cell %leukocyte,GCST90001614,15,11.89,0.096,0.102,0.885,1.000,0.844,1.185,0.9036,1.0651,0.8302,1.1593,yes,no,no,no,""
CONDUCTIO,CD8+ and CD8dim T cell %leukocyte,GCST90001614,15,11.89,0.096,0.348,0.998,1.000,0.880,1.137,0.9261,1.0373,0.8736,1.0997,yes,yes,yes,no,""
AVBLOCK,TCRgd T cell Absolute Count,GCST90001615,19,12.34,0.113,0.111,0.903,1.000,0.847,1.181,0.9596,1.0604,0.9114,1.1165,yes,yes,yes,no,""
CONDUCTIO,TCRgd T cell Absolute Count,GCST90001615,19,12.34,0.113,0.373,0.999,1.000,0.882,1.134,0.9832,1.0595,0.9460,1.1012,yes,yes,yes,no,""
AVBLOCK,TCRgd T cell %T cell,GCST90001616,18,12.02,0.106,0.104,0.891,1.000,0.845,1.184,0.9803,1.0487,0.9467,1.0858,yes,yes,yes,yes,""
CONDUCTIO,TCRgd T cell %T cell,GCST90001616,18,12.02,0.106,0.355,0.998,1.000,0.880,1.136,0.9924,1.0458,0.9659,1.0745,yes,yes,yes,yes,""
AVBLOCK,TCRgd T cell %lymphocyte,GCST90001617,20,13.47,0.119,0.136,0.938,1.000,0.853,1.173,0.9804,1.0322,0.9548,1.0599,yes,yes,yes,yes,""
CONDUCTIO,TCRgd T cell %lymphocyte,GCST90001617,20,13.47,0.119,0.437,1.000,1.000,0.887,1.128,0.9926,1.0328,0.9724,1.0541,yes,yes,yes,yes,""
AVBLOCK,HLA DR+ T cell Absolute Count,GCST90001618,30,26.47,0.258,0.524,1.000,1.000,0.893,1.120,0.9655,1.0379,0.9302,1.0773,yes,yes,yes,yes,""
CONDUCTIO,HLA DR+ T cell Absolute Count,GCST90001618,30,26.47,0.258,0.916,1.000,1.000,0.918,1.090,0.9761,1.0223,0.9531,1.0469,yes,yes,yes,yes,""
AVBLOCK,HLA DR+ T cell%T cell,GCST90001619,31,25.98,0.283,0.509,1.000,1.000,0.892,1.122,0.9567,1.0088,0.9309,1.0367,yes,yes,yes,yes,""
CONDUCTIO,HLA DR+ T cell%T cell,GCST90001619,31,25.98,0.283,0.908,1.000,1.000,0.917,1.090,0.9732,1.0116,0.9540,1.0320,yes,yes,yes,yes,""
AVBLOCK,HLA DR+ T cell%lymphocyte,GCST90001620,25,23.23,0.245,0.423,0.999,1.000,0.886,1.129,0.9620,1.0237,0.9316,1.0571,yes,yes,yes,yes,""
CONDUCTIO,HLA DR+ T cell%lymphocyte,GCST90001620,25,23.23,0.245,0.850,1.000,1.000,0.912,1.096,0.9740,1.0227,0.9498,1.0487,yes,yes,yes,yes,""
AVBLOCK,Natural Killer T Absolute Count,GCST90001621,34,28.00,0.249,0.570,1.000,1.000,0.895,1.117,0.9757,1.0727,0.9291,1.1264,yes,yes,yes,no,""
