id,trait,nIV,method,mean_F,min_F,b,se,OR,OR_L,OR_U,p,FDR
ebi-a-GCST90001607,CD8+ T cell %leukocyte,1,Wald,37.2215727153884,37.2215727153884,0.133464186563021,0.074423653525819,1.1427803385106,0.987670464972408,1.32224962515497,0.0729244333829004,0.504895389615419
ebi-a-GCST90001684,CD127- CD8+ T cell Absolute Count,1,Wald,37.7143279371766,37.7143279371766,0.126177952755906,0.0703606299212598,1.13448403488167,0.988339633314902,1.30223860504775,0.0729244333829004,0.504895389615419
ebi-a-GCST90001963,FSC-A on myeloid Dendritic Cell,3,IVW,84.4027025053082,30.4853687409079,-0.0631636833723955,0.0352585064194056,0.938789796832387,0.876104103097264,1.00596068380558,0.0732218752027714,0.504895389615419
ebi-a-GCST90001467,CD86+ plasmacytoid Dendritic Cell %Dendritic Cell,1,Wald,86.91214762454,86.91214762454,-0.141076670317634,0.079710843373494,0.86842272689885,0.742813761369448,1.0152720261995,0.0767512243912736,0.504895389615419
ebi-a-GCST90001728,CD19 on IgD+ CD38- unswitched memory B cell,3,IVW,37.6519584184681,32.1600646997235,-0.0830486923807731,0.0470429189029013,0.920306334222654,0.839244821584595,1.00919746780346,0.0774996931527845,0.504895389615419
ebi-a-GCST90001865,CD3 on CD28- CD8+ T cell,2,IVW,54.1036562306264,30.2110054826216,-0.0835129989840401,0.0474463223510213,0.919879129099401,0.838192248948244,1.00952688743477,0.078381109828951,0.504895389615419
ebi-a-GCST90001465,CD86+ myeloid Dendritic Cell %Dendritic Cell,2,IVW,443.722225272644,48.064013910942,0.0456320530733925,0.0259583244673591,1.04668921401586,0.994767474720294,1.10132100071444,0.0787650864236868,0.504895389615419
ebi-a-GCST90001879,HVEM on Terminally Differentiated CD4+ T cell,1,Wald,35.8914300693497,35.8914300693497,-0.0985642317380353,0.0561049538203191,0.906137487959247,0.811776728748287,1.01146672232297,0.0789547957514168,0.504895389615419
ebi-a-GCST90001881,HVEM on CD8+ T cell,1,Wald,43.9893072028807,43.9893072028807,-0.090859133126935,0.051719040247678,0.913146333908401,0.825118347011617,1.01056561176989,0.0789547957514168,0.504895389615419
ebi-a-GCST90001681,CD25++ CD8+ T cell Absolute Count,3,IVW,32.1581538970164,30.7440645373546,-0.0639295074237594,0.0364013753480659,0.938071124250297,0.873474621963512,1.00744476373462,0.0790476437713079,0.504895389615419
ebi-a-GCST90001452,CD11c+ CD62L- monocyte Absolute Count,1,Wald,34.4071257702615,34.4071257702615,-0.210551686014373,0.120208955223881,0.810137181309214,0.640080558269756,1.02537445335598,0.0798516596426362,0.504895389615419
ebi-a-GCST90001482,Resting CD4 regulatory T cell %CD4+ T cell,5,IVW,84.3767579505045,36.8880493482949,-0.0412907926051088,0.0236401134422087,0.959550059312447,0.916103971310478,1.00505657126387,0.0806996215785166,0.504996601011954
ebi-a-GCST90001999,PDL-1 on CD14- CD16+ monocyte,1,Wald,388.111069804684,388.111069804684,-0.0681842200506696,0.0391603329714079,0.934088379917471,0.865075517256176,1.00860686043258,0.0816563657675623,0.505769530825615
ebi-a-GCST90001957,CD33 on CD33+ HLA DR+ CD14-,5,IVW,277.071174432871,43.2589196875908,-0.0179545796307464,0.0104157972608191,0.982205643488176,0.962357243500069,1.00246341222656,0.0847469313769622,0.510859523586813
ebi-a-GCST90001947,CD33 on CD33+ HLA DR+ CD14dim,5,IVW,266.635436057423,40.0074043357454,-0.0181269426804552,0.0105290553636882,0.982036362117369,0.961977813768307,1.00251315853423,0.0851399205961846,0.510859523586813
ebi-a-GCST90001888,CD28 on CD39+ secreting CD4 regulatory T cell,2,IVW,152.759592468827,42.3755757964252,0.0546534198992808,0.0317556368312114,1.05617450217017,0.992441085093583,1.12400080547775,0.0852395735174795,0.510859523586813
ebi-a-GCST90001956,CD33 on CD33+ HLA DR+,5,IVW,273.524850376122,41.0679725159846,-0.0179786933941877,0.0104664995127904,0.982181959099199,0.962238409171026,1.00253886311919,0.0858445986916884,0.510859523586813
ebi-a-GCST90001755,CD20 on IgD- CD38- B cell,4,IVW,42.5235218937932,30.1381058667771,0.0858365342479933,0.0501438446910388,1.08962819685372,0.987631722384089,1.202158234157,0.0869324258328936,0.512310509520062
ebi-a-GCST90001632,CD8+ Natural Killer T %lymphocyte,1,Wald,105.356207184304,105.356207184304,0.23935975763696,0.141785660186822,1.27043550325484,0.962193085066371,1.67742461776168,0.0913766246145885,0.533323184048608
ebi-a-GCST90001955,CD33 on Immature Myeloid-Derived Suppressor Cells,6,IVW,180.253781824472,48.3615202230842,-0.0196786323626592,0.0116992064512215,0.98051372806001,0.958285932858538,1.00325710515889,0.0925594405583146,0.535081718275209
ebi-a-GCST90001574,Terminally Differentiated CD4-CD8- T cell %T cell,3,IVW,34.7886538555843,34.4762097702788,-0.0843743886466244,0.0508811568150337,0.919087095900346,0.831851403225902,1.01547113652116,0.0972641997630639,0.543917375095975
