Outcome,Immunophenotype,GWAS Catalog accession,Instruments,Method,OR,OR 95%CI lower,OR 95%CI upper,P,FDR
I9_LBBB,CD86 on CD62L+ myeloid Dendritic Cell,GCST90001904,22,IVW,0.950013631025201,0.88978152376921,1.01432303888542,0.124920196201931,0.982284245304452
I9_LBBB,Unswitched memory B cell Absolute Count,GCST90001398,20,IVW,0.957642128553886,0.87189489582821,1.0518222445953,0.365819850287261,0.984642438626707
I9_LBBB,CD16 on CD14+ CD16+ monocyte,GCST90002005,22,IVW,0.94376008929275,0.874380060247134,1.01864526266772,0.137331254537043,0.982284245304452
I9_LBBB,CD24 on unswitched memory B cell,GCST90001772,25,IVW,1.03312727051863,0.989189334221165,1.07901684759839,0.14161730617894,0.982284245304452
I9_LBBB,CD8dim Natural Killer T %T cell,GCST90001634,19,IVW,0.965704254047647,0.883525891284577,1.05552617697464,0.441847871540342,0.984642438626707
I9_LBBB,CD28 on resting CD4 regulatory T cell,GCST90001900,6,IVW,0.99637161648834,0.862925837990375,1.1504539028007,0.960482688840995,0.98808972167928
I9_LBBB,IgD- CD38- B cell Absolute Count,GCST90001446,14,IVW,0.982630232129506,0.904976963182553,1.06694668745962,0.676544856684931,0.984642438626707
I9_LBBB,CD86+ myeloid Dendritic Cell Absolute Count,GCST90001464,21,IVW,1.03035912985111,0.977001163440936,1.08663118959706,0.27029946277312,0.984642438626707
I9_LBBB,CD62L- Dendritic Cell %Dendritic Cell,GCST90001463,23,IVW,1.0005941032356,0.950324378776629,1.05352296730376,0.981982329624326,0.991409379544456
I9_LBBB,FSC-A on B cell,GCST90001968,20,IVW,1.05640829199422,0.973589143250386,1.14627251868106,0.187699930459286,0.982405835569941
