Outcome,Instrument set,Immunophenotype,GWAS Catalog accession,Instruments,Method,beta,SE,OR,OR 95%CI lower,OR 95%CI upper,P,FDR
CONDUCTIO,all instruments,Activated CD4 regulatory T cell %CD4+ T cell,GCST90001488,19,IVW,-0.0101099349373736,0.0167849192459252,0.989940998665197,0.957903366003201,1.02305014850002,0.546959470108827,0.976120388751442
CONDUCTIO,all instruments,Natural Killer %lymphocyte,GCST90001647,27,IVW,0.0173792150860052,0.0150573041739709,1.0175311123202,0.987940208186934,1.04800832677889,0.248416151633013,0.96753368259999
CONDUCTIO,all instruments,Unswitched memory B cell %lymphocyte,GCST90001432,22,IVW,-0.018854871217216,0.0207222193972379,0.981321769942819,0.942263404166084,1.02199916913463,0.362882280019054,0.976120388751442
CONDUCTIO,all instruments,CD4 on Effector Memory CD4+ T cell,GCST90002025,20,IVW,-0.0326701748442326,0.0164314546241903,0.96785773077761,0.93718383010386,0.999535584093648,0.0467817927060413,0.924454769589635
CONDUCTIO,all instruments,CD45RA+ CD28- CD8+ T cell Absolute Count,GCST90001698,719,IVW,-2.17737792850255e-06,3.49506912392656e-06,0.999997822624442,0.999990972327338,1.00000467296847,0.533293948377692,0.976120388751442
CONDUCTIO,all instruments,CD62L on monocyte,GCST90001834,25,IVW,-0.0143604889101496,0.0110991642995822,0.98574213109893,0.964529510003145,1.0074212752913,0.195722368390189,0.96753368259999
CONDUCTIO,all instruments,CX3CR1 on CD14- CD16+ monocyte,GCST90002012,18,IVW,0.026393659978105,0.0196543430827875,1.02674505736428,0.987944405589067,1.06706957077549,0.17930694911245,0.96753368259999
CONDUCTIO,all instruments,CD4 on CD39+ activated CD4 regulatory T cell,GCST90002067,23,IVW,-0.0155165526128971,0.0154434679902491,0.984603208861073,0.955246601972921,1.01486200201841,0.31502572382305,0.975778830994276
CONDUCTIO,all instruments,CD28+ CD45RA- CD8dim T cell %T cell,GCST90001667,28,IVW,0.00577758425695496,0.00535306763897864,1.00579430668645,0.995296667158607,1.01640266740858,0.280452484920786,0.96753368259999
CONDUCTIO,all instruments,CD4 on CD28+ CD4+ T cell,GCST90002062,21,IVW,-0.02489011423435,0.0245025636362696,0.975417090593353,0.929679720264983,1.02340459825285,0.309716664471132,0.96753368259999
CONDUCTIO,all instruments,CD3 on CD45RA+ CD4+ T cell,GCST90001858,32,IVW,0.0184563058279665,0.0119977020080615,1.01862767610427,0.994953586039706,1.04286507138051,0.123970374130699,0.96753368259999
CONDUCTIO,all instruments,FSC-A on HLA DR+ T cell,GCST90001975,19,IVW,0.00562472314830477,0.00909230318922382,1.00564057160401,0.987877880997827,1.0237226470083,0.536163639564717,0.976120388751442
CONDUCTIO,all instruments,SSC-A on HLA DR+ CD8+ T cell,GCST90002086,24,IVW,-0.00148027050030558,0.0173200810299371,0.998520824559676,0.965192583347026,1.03299989482084,0.931891270920103,0.997430722004315
CONDUCTIO,all instruments,CD28- CD127- CD25++ CD8+ T cell %T cell,GCST90001673,18,IVW,-0.00755029782720726,0.0187042517280519,0.992478134070002,0.956752414325445,1.0295378740189,0.686457269564192,0.976120388751442
CONDUCTIO,all instruments,CD80 on granulocyte,GCST90002040,33,IVW,-0.00426840067959649,0.0132837762737587,0.995740695995231,0.970149978742745,1.02200644785458,0.747964610932192,0.978772201123906
CONDUCTIO,all instruments,HLA DR+ CD8+ T cell Absolute Count,GCST90001627,34,IVW,-0.00468019430512841,0.0116590029946029,0.995330740738211,0.972843706546889,1.01833755699043,0.688108570423157,0.976120388751442
